,,,,,,,,Base De Données  -  ALLIANCE COURTAGE -  2025,,,,,,,,,,,,,,,,,,,,31/12/2023,31/12/2024,366,Nbre de jours,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nbre de jours de l'année,,366,,,,,,
,,,,,,,,,,,,,,,,PERFORMANCES,,,,,,,,,,,,,,,,,,,,
,Dispo,,,,,,,Code ISIN,Nom du Fonds,Composition  Gestionnaire,Classe (b),PEA,Frais,"SRI
1-7
(c)",2016,2017,2018,2019,2020,2021,2022,2023,2024,Cumul depuis 2017,,,Du 01/01 au 31/12,Perf Fds général periode,Frais Gestion Annuels,Frais Gestion Période,Période,,"Vol.
5 ANS
(d)","ISR
(e)","ESG
(f)","Vol.
3 ANS
(d)"
1,,,,,,,,SLSP / SLR,"Fonds en Euro
 (a)","Fonds Général
 Swiss Life",€,,,(1),"2,00%","1,80%","1,50%","1,00%","0,80%","0,80%","1,50%","1,70%","1,70%",+,"11,32%",,"0,00%","0,00%","0,40%","0,40%","0,996",,"0,00%",,,"0,00%"
2,,,,,,,,M+ /  Essentiel,"Fonds en Euro
 (a)","Fonds Général
Cardif",€,,,(1),"2,10%","2,10%","1,85%","1,40%","1,20%","1,10%","2,00%","3,00%","2,75%",+,"16,46%",,"0,00%","0,00%","0,80%","0,80%","0,992",,"0,00%",,,"0,00%"
,,,,,,,,Signature Premium,"Fonds en Euro
 (a)","Fonds Général
MMA",€,,,(1),"2,01%","1,51%","1,51%","1,47%","1,35%","1,20%","1,40%","2,25%","0,00%",+,"11,19%",,"0,00%","0,00%",,,,,"0,00%",,,"0,00%"
3,,,,,,,,PGA,"Fonds en Euro
 (a)","Fonds Général
Selencia",€,,,(2),"2,12%","1,92%","1,80%","1,40%","1,20%","1,10%","1,50%","2,00%","2,00%",+,"13,67%",,"2,00%","0,00%","0,95%","0,95%","0,9905",,"0,00%",,,"0,00%"
4,,,,,,,,,"Fonds en Euro
 (a)","Fonds Général
Abeille Vie",€,,,(1),,"2,05%","1,90%","1,80%","1,35%","1,00%","0,90%","1,35%","1,35%",+,"12,31%",,"0,00%","0,00%","0,96%","0,96%","0,9904",,"0,00%",,,"0,00%"
5,,,,,,,,"Version 
Absolue","Fonds en Euro
 (a)","Fonds Général
UAF SPIRICA",€,,,(1),,"1,70%","1,60%","1,20%","1,00%","1,00%","1,30%","1,40%","1,40%",+,"11,10%",,"0,00%",,,,,,"0,00%",,,"0,00%"
,,,,,,,,"Patrimoine
 Vie Plus","Fonds en Euro
 (a)","Fonds Général
Vie Plus",€,,,(1),,"1,75%","1,75%","1,40%","1,00%","1,00%","2,00%","2,50%","0,00%",+,"11,96%",,"0,00%",,,,,,"0,00%",,,"0,00%"
,OPCI SCI perf brutes de frais de gestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,FR0013488020,"LF MULTIMMO 
Part LF Philosophale 2","La Française Real Estate Managers
Acquisition 1%",I,,,(2),"3,34%","3,19%","3,30%","3,67%","2,68%","2,76%","3,03%","-5,72%","-22,30%",+,"-12,00%",,"-22,30%",,"1,00%","1,00%","0,99",,"3,13%",N,0,"3,96%"
,,,,,,,,FR0014003ZM0,SCI Immo Trend Prime,La Française Real Estate Managers,I,,,(2),,,,,,,"3,95%","3,20%","-0,16%",+,"7,10%",,"-0,16%",,,,,,"1,16%",,,"1,16%"
7,,,,,,,,FR0013466117,SCI Sofidy Convictions Immobilières A,"Sofidy
Acquisition 2%",I,,,(2),,"4,32%","3,41%","5,52%","2,14%","4,54%","3,26%","-0,41%","0,80%",+,"25,99%",,"0,80%",,"1,10%","1,10%","0,989",,"1,16%",-,1,"1,35%"
,,,,,,,,FR0013219722 ,SwissLife Dynapierre P,"OPCI SwissLife REIM 
Acquisition 3%",I,,,(2),,"5,44%","5,19%","5,55%","-0,54%","3,10%","-4,06%","-9,41%","-1,63%",+,"2,63%",,"-1,63%",,,,,,"3,01%",O,2,"3,52%"
,,,,,,,,FR0010956912 ,SwissLife Dynapierre C,"OPCI SwissLife REIM 
Acquisition 3%",I,,,(2),,"5,44%","5,17%","5,52%","-0,56%","3,08%","-4,10%","-9,43%","-1,80%",+,"2,30%",,"-1,80%",,,,,,"3,02%",O,2,"3,53%"
,,,,,,,,"QS0002005277
QS0499341469",Primonial Capimmo,"SCI Primonial 
Acquisition 2%",I,,,(3),,"4,06%","4,20%","4,56%","2,50%","4,12%","4,04%","-11,57%","-12,50%",+,"-2,59%",,"-12,50%",,,,,,"6,16%",-,1,"7,87%"
,SCI perf nettes de frais de gestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,Cardimmo,SCI Cardif ,I,,,(3),"6,57%","6,19%","2,27%","3,39%","-3,59%","2,82%","3,95%","-6,05%","0,27%",+,"8,99%",,"0,27%",,"1,16%","1,16%","0,9884",,"2,87%",N,0,"2,89%"
,Unités de Compte perf brutes de frais de gestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,LU1433232854,Pictet TR-Atlas P EUR,"Alt - Long/Short Actions - International
Pictet AM (Europe) SA",M,,,"***
(2)",,"2,70%","-1,88%","3,04%","10,78%","6,17%","-5,64%","3,73%","8,51%",+,"29,71%",,"8,51%",,"1,20%","1,20%","0,988",,"2,84%",N,0,"2,57%"
,,,,,,,,FR0010707513,Schelcher Flexible Short Duration ESG P,"Obligations EUR Flexibles
Schelcher Prince Gestion",M,,,"*****
(2)","2,56%","1,48%","-2,51%","2,15%","3,54%","1,48%","-1,50%","5,88%","6,34%",+,"17,76%",,"6,34%",,,,,,"3,72%",N,2,"3,15%"
10,,,,,,,,LU1920211973,Eleva Absolute Return A2 Europe Fund,"Alt - Long/Short Actions - Europe 
Eleva Capital Performance ",M,,,"****
(2)",,,,,"7,81%","5,41%","-2,37%","4,54%","7,45%",+,"24,63%",,"7,45%",,,,,,"4,04%",-,1,"4,14%"
11,,,,,,,,LU1694789535,DNCA Invest Alpha Bonds B EUR,"Obligations Internationales Flexibles
DNCA Finance",M,,,"****
(2)",,,"-0,25%","2,71%","-0,71%","4,31%","5,84%","4,77%","3,63%",+,"21,94%",,"3,63%",,,,,,"4,17%",-,2,"2,74%"
12,,,,,,,,LU1819523264,Candriam Absolute Return Equity Market Neutral,"Alt - Market Neutral - Actions 
Candriam",T,,"1,71","****
(5)",,"5,22%","-0,43%","0,54%","14,31%","12,13%","-6,75%","7,43%","3,27%",+,"39,68%",,"3,27%",,,,,,"5,31%",-,0,"5,18%"
